record_id,fecha_de_inicio,fecha_de_fin,fecha_del_registro,nombre_de_la_actividad,tipo_de_actividad,qu_tem_tica_s_aborda_la_ac,en_qu_estrategia_plan_inte,asist_total,asist_hombres,asist_mujeres,n_mero_de_horas,n_mero_de_sesiones,apellidos_y_nombre,distrito0,unidad_asistencial,unidad_asistencial_2,sexo,categor_a_profesional,especialidad_de_enfermer_a,horario,localidad_donde_se_realiza,es_una_zona_desfavorecidas,lugar_de_realizaci_n_de_la,poblaci_n_destinataria,observaciones_sobre_la_act
1745,02/10/2025,02/10/2025,02/10/2025,Charla higiene dental infantil,20,15,22,23,9,14,3.9,1,"Laguna Duarte, Felipe",1,,7,0,7,,0,Municipio Metro,1,1,5,
1746,06/01/2024,06/01/2024,06/01/2024,Escuela Pacientes - diabetes,22,12,3,10,4,6,0.6,3,"Méndez Navajas, Héctor",0,5,,1,2,6,0,Granada,0,3,13,
1747,12/01/2025,12/01/2025,12/01/2025,Sesión Forma Joven pediatría,20,3,8,24,8,16,3.7,3,"Cantero Heredia, Sofía",0,5,,1,7,,2,Granada,1,5,15,
1748,23/02/2024,23/02/2024,23/02/2024,Escuela Pacientes - EPOC,9,13,2,7,3,4,2.5,1,"Serrano Pardo, Concepción",1,,18,1,2,,2,Municipio Metro,0,1,9,
1749,10/04/2024,10/04/2024,10/04/2024,Taller incontinencia urinaria,7,25,3,17,4,13,1.9,2,"Linares Hinojosa, Andrés",0,8,,0,2,,0,Granada,0,0,3,
1750,10/03/2025,10/03/2025,10/03/2025,Intervención riesgo conducta suicida,22,14,24,10,4,6,1.6,4,"Herrera Álvarez, Lucía",0,14,,1,13,,2,Granada,0,7,5,
1751,13/10/2025,13/10/2025,13/10/2025,Taller actividad física mayores,22,12,25,11,4,7,1.5,1,"Heredia Reyes, Víctor",1,,3,0,5,,2,Municipio Metro,1,1,3,
1752,05/11/2024,05/11/2024,05/11/2024,Sesión GRAFA,7,13,16,15,3,12,1.3,2,"Iglesias Jiménez, Carmen",1,,17,1,2,6,1,Municipio Metro,0,6,15,
1753,21/03/2024,21/03/2024,21/03/2024,Taller hipertensión,13,8,17,9,2,7,3.9,3,"Cruz Bravo, Consuelo",0,2,,1,2,5,1,Granada,1,2,6,
1754,21/09/2025,21/09/2025,21/09/2025,Sesión coordinación servicios sociales,22,4,18,9,2,7,3.6,4,"Bravo Domínguez, Blanca",1,,17,1,13,,1,Municipio Metro,0,2,2,
1755,15/02/2024,15/02/2024,15/02/2024,Charla alcohol,0,30,6,8,3,5,2.9,3,"Carmona Fuentes, Beatriz",1,,1,1,6,,1,Municipio Metro,0,2,9,
1756,26/03/2025,26/03/2025,26/03/2025,Intervención familias vulnerables,17,5,20,8,2,6,2.0,2,"Gutiérrez Millán, Concepción",0,6,,1,13,,2,Granada,0,9,10,
1757,06/11/2025,06/11/2025,06/11/2025,Ed. grupal EPOC/asma,13,4,16,7,1,6,2.5,4,"Salas Navarrete, Yolanda",0,8,,1,2,,0,Granada,0,0,8,
1758,08/06/2024,08/06/2024,08/06/2024,Taller hipertensión,23,7,10,6,2,4,1.8,2,"Ríos Pérez, Josefa",1,,7,1,2,1,2,Municipio Metro,0,3,9,
1759,15/11/2025,15/11/2025,15/11/2025,Taller pantallas y salud,0,27,21,24,6,18,0.5,4,"Ruiz García, Víctor",0,7,,1,7,,2,Granada,0,9,12,
1760,15/07/2024,15/07/2024,15/07/2024,Sesión PIOBIN enfermería,10,10,2,6,3,3,2.4,1,"Pascual Sánchez, Alicia",1,,13,1,2,,1,Municipio Metro,0,5,8,
1761,06/12/2025,06/12/2025,06/12/2025,Taller lactancia materna,6,17,3,6,1,5,3.4,1,"González Núñez, Raquel",1,,10,0,2,,1,Municipio Metro,0,5,3,
1762,23/12/2025,23/12/2025,23/12/2025,Sesión AVISTA,23,20,18,9,3,6,2.9,4,"Ríos Campos, Encarnación",0,6,,0,13,,1,Granada,0,4,2,
1763,08/04/2025,08/04/2025,08/04/2025,Charla tabaco,14,17,14,11,4,7,2.2,4,"Tejada Lara, Verónica",0,4,,0,6,,2,Granada,1,8,2,
1764,03/03/2025,03/03/2025,03/03/2025,Sesión coordinación servicios sociales,22,28,1,12,3,9,1.7,3,"Espejo Gallego, Ricardo",1,,20,0,13,,0,Municipio Metro,0,5,13,
1765,16/08/2024,16/08/2024,16/08/2024,Intervención social RELAS,23,28,14,11,2,9,1.3,1,"Luque Parra, Gloria",0,4,,0,13,,1,Granada,0,5,8,
1766,27/10/2025,27/10/2025,27/10/2025,Escuela Pacientes - diabetes,5,8,10,6,1,5,1.4,4,"Aguilar Vera, Dolores",1,,17,0,2,3,0,Municipio Metro,0,4,0,
1767,05/02/2024,05/02/2024,05/02/2024,PSIA sesión grupal,3,6,6,20,9,11,2.7,2,"Roldán Ramos, Roberto",0,10,,1,6,,1,Granada,0,0,6,
1768,05/10/2025,05/10/2025,05/10/2025,Charla recursos sociales y salud,17,4,1,11,4,7,3.0,3,"Navajas Linares, Ascensión",0,4,,1,13,,0,Granada,0,0,9,
1769,01/01/2025,01/01/2025,01/01/2025,Taller cesación tabáquica,5,12,5,6,2,4,1.7,4,"Pardo Urbano, Claudia",0,3,,1,2,,0,Granada,0,2,7,
1770,14/08/2025,14/08/2025,14/08/2025,Taller actividad física infantil,23,1,22,15,4,11,0.8,4,"Ortega Pedrosa, Alejandro",0,1,,1,7,,1,Granada,0,1,6,
1771,16/05/2025,16/05/2025,16/05/2025,Sesión rehabilitación pulmonar,23,12,2,9,4,5,3.9,2,"Heredia Luque, Eduardo",0,3,,1,5,,1,Granada,0,4,11,
1772,19/04/2024,19/04/2024,19/04/2024,Rehabilitación cardiaca grupal,9,10,2,17,4,13,0.8,4,"Muñoz Contreras, Juan",1,,13,1,2,,2,Municipio Metro,1,9,12,
1773,24/10/2024,24/10/2024,24/10/2024,Sesión PSIA médico,14,25,8,16,7,9,1.6,3,"Medina González, Enrique",1,,3,1,6,,2,Municipio Metro,0,3,12,
1774,05/12/2025,05/12/2025,05/12/2025,Sesión menopausia,9,8,5,7,3,4,1.1,1,"Baena Cabello, Lucía",1,,19,1,2,,1,Municipio Metro,0,7,0,
1775,02/05/2024,02/05/2024,02/05/2024,Taller pantallas y salud,20,27,21,14,5,9,1.2,3,"Cruz Pascual, Macarena",1,,6,1,7,,2,Municipio Metro,0,4,1,
1776,25/03/2025,25/03/2025,25/03/2025,Taller habilidades parentales,3,4,1,9,2,7,2.3,2,"Espejo Gallego, Ricardo",1,,13,1,13,,0,Municipio Metro,0,0,8,
1777,25/01/2024,25/01/2024,25/01/2024,Charla higiene dental infantil,20,27,22,24,7,17,1.5,1,"Iglesias Moya, Sara",1,,2,1,7,,0,Municipio Metro,0,4,3,
1778,23/01/2024,23/01/2024,23/01/2024,Ponencia jornada distrital,1,7,6,6,2,4,3.8,2,"Fernández Flores, Lorenzo",1,,15,1,15,,1,Municipio Metro,1,4,13,
1779,03/04/2025,03/04/2025,03/04/2025,Taller incontinencia urinaria,9,15,17,11,3,8,1.3,2,"Moreno Campos, Arturo",1,,16,1,2,1,1,Municipio Metro,0,4,12,
1780,14/10/2025,14/10/2025,14/10/2025,Taller parentalidad positiva,20,23,14,17,5,12,0.7,2,"Gallego Úbeda, Irene",1,,8,1,7,,0,Municipio Metro,0,7,4,
1781,13/09/2024,13/09/2024,13/09/2024,Mapeo activos comunitarios,18,1,25,16,5,11,0.9,2,"Mateo Hinojosa, Fernando",0,0,,1,9,,1,Granada,0,3,2,
1782,12/09/2024,12/09/2024,12/09/2024,Charla tabaco,0,5,17,11,5,6,2.6,4,"Tejada Gutiérrez, Patricia",0,12,,0,6,,1,Granada,0,2,11,
1783,26/01/2025,26/01/2025,26/01/2025,Mesa de salud escolar,19,3,14,25,9,16,1.7,4,"Millán Rubio, Juan",0,13,,0,6,,0,Granada,0,4,3,
1784,03/09/2025,03/09/2025,03/09/2025,Ed. grupal diabetes tipo 2,5,8,3,10,3,7,1.4,4,"Heredia Ibáñez, Isabel",1,,0,1,2,,0,Municipio Metro,1,4,8,
1785,14/06/2024,14/06/2024,14/06/2024,Sesión conducta suicida CSMC,23,14,20,10,4,6,1.2,3,"Bravo Montoya, Sonia",1,,7,0,8,,1,Municipio Metro,1,5,9,
1786,24/09/2024,24/09/2024,24/09/2024,Taller dolor crónico,22,13,16,16,6,10,1.2,3,"Contreras Navajas, Antonia",0,4,,1,2,2,1,Granada,1,1,8,
1787,28/08/2025,28/08/2025,28/08/2025,Sesión Forma Joven - sexualidad,23,1,16,11,5,6,1.8,2,"Tejada Moya, Roberto",0,3,,1,6,,2,Granada,0,5,5,
1788,17/05/2025,17/05/2025,17/05/2025,Taller GRUSE cuidadoras,8,17,3,9,2,7,3.0,1,"Tejada Ibáñez, Sofía",1,,15,1,2,,1,Municipio Metro,0,5,5,
1789,23/09/2024,23/09/2024,23/09/2024,Taller alimentación infantil,0,21,22,11,3,8,2.5,3,"Pérez Reyes, Victoria",1,,8,0,7,,0,Municipio Metro,1,0,12,
1790,05/05/2025,05/05/2025,05/05/2025,Sesión IG EPOC,10,3,17,10,4,6,1.2,4,"Ruiz Navajas, Ascensión",1,,14,1,2,,1,Municipio Metro,1,1,4,
1791,01/04/2024,01/04/2024,01/04/2024,Intervención familias vulnerables,23,4,1,13,5,8,3.9,2,"Osuna Calvo, Felipe",0,2,,1,13,,0,Granada,0,9,7,
1792,27/05/2024,27/05/2024,27/05/2024,Charla EPOC y tabaco,17,5,8,20,9,11,1.0,1,"Hinojosa Iglesias, Julio",1,,14,1,6,,0,Municipio Metro,0,5,1,
1793,27/09/2025,27/09/2025,27/09/2025,Taller cesación tabáquica,13,4,2,9,2,7,2.6,3,"Ramos Navarrete, Elisa",1,,18,1,2,,2,Municipio Metro,0,6,2,
1794,19/04/2025,19/04/2025,19/04/2025,Intervención familias vulnerables,22,5,18,8,2,6,2.6,3,"Peña Flores, Rebeca",1,,8,1,13,,0,Municipio Metro,0,3,3,
1795,23/04/2025,23/04/2025,23/04/2025,Charla recursos sociales y salud,3,28,14,9,4,5,1.3,2,"Chacón Navarrete, Óscar",1,,4,1,13,,0,Municipio Metro,0,2,15,
1796,04/01/2025,04/01/2025,04/01/2025,Taller movilidad articular,23,8,2,12,5,7,3.7,3,"Muñoz Parra, Macarena",1,,8,0,5,,1,Municipio Metro,0,1,3,
1797,12/01/2024,12/01/2024,12/01/2024,Sesión menopausia,23,17,10,12,3,9,0.6,3,"Vergara Carrillo, Antonio",1,,4,1,2,,2,Municipio Metro,0,2,14,
1798,16/02/2025,16/02/2025,16/02/2025,Taller movilidad articular,23,12,25,5,1,4,1.3,2,"Muñoz Parra, Macarena",0,9,,1,5,,2,Granada,0,3,13,
1799,19/12/2025,19/12/2025,19/12/2025,Educación maternal,22,25,2,7,3,4,2.0,2,"González García, Mónica",0,0,,1,2,2,1,Granada,0,5,6,
1800,03/04/2025,03/04/2025,03/04/2025,Rehabilitación cardiaca grupal,5,3,17,18,7,11,0.5,2,"Iglesias Jiménez, Carmen",1,,3,1,2,4,1,Municipio Metro,1,9,6,
1801,20/05/2024,20/05/2024,20/05/2024,Sesión dolor crónico fisioterapia,3,10,25,11,3,8,2.3,1,"Sánchez Muñoz, Almudena",1,,8,1,5,,1,Municipio Metro,0,0,4,
1802,18/02/2025,18/02/2025,18/02/2025,Charla lactancia materna,11,23,8,9,5,4,2.8,4,"Toboso Escribano, Daniel",1,,15,1,7,,1,Municipio Metro,0,3,10,
1803,05/02/2024,05/02/2024,05/02/2024,Escuela Pacientes - EPOC,13,17,5,17,3,14,2.3,4,"Giménez Trujillo, Leire",1,,19,1,2,,0,Municipio Metro,0,3,0,
1804,26/02/2024,26/02/2024,26/02/2024,Sesión GRAFA,5,1,2,17,6,11,0.5,3,"Bravo Zamora, Amparo",1,,9,1,2,2,1,Municipio Metro,0,5,15,
1805,11/11/2024,11/11/2024,11/11/2024,Charla tabaco,17,25,22,21,9,12,0.8,3,"Linares Cañas, Antonia",1,,0,0,6,,0,Municipio Metro,0,9,9,
1806,13/10/2025,13/10/2025,13/10/2025,Sesión IG EPOC,9,3,3,6,1,5,1.5,2,"Cañas Pascual, Alicia",1,,10,1,2,2,2,Municipio Metro,0,4,12,
1807,04/05/2024,04/05/2024,04/05/2024,Taller higiene postural,23,10,5,11,3,8,1.2,3,"Heredia Escribano, Antonio",0,3,,1,5,,0,Granada,0,8,13,
1808,27/11/2025,27/11/2025,27/11/2025,Intervención riesgo conducta suicida,23,28,20,11,2,9,0.8,4,"Montoya Lara, Concepción",0,4,,1,13,,0,Granada,0,9,7,
1809,19/09/2025,19/09/2025,19/09/2025,Taller higiene postural,23,1,5,4,1,3,1.5,2,"Heredia Reyes, Víctor",0,7,,1,5,,2,Granada,0,2,8,
1810,15/08/2024,15/08/2024,15/08/2024,Charla alcohol,23,17,22,9,4,5,1.2,3,"Bravo Gómez, Victoria",1,,9,1,6,,2,Municipio Metro,1,6,4,
1811,27/02/2024,27/02/2024,27/02/2024,Taller PRIA violencia género,23,4,14,11,2,9,1.1,2,"Aguilar Gutiérrez, Diego",1,,7,1,13,,1,Municipio Metro,0,1,4,
1812,15/06/2025,15/06/2025,15/06/2025,Charla vacunas adultos,20,14,7,11,6,5,3.0,2,"Molina Toboso, Josefa",0,9,,0,6,,2,Granada,0,0,10,
1813,26/04/2025,26/04/2025,26/04/2025,Charla alcohol,14,17,21,23,12,11,1.2,3,"Infante Santos, Gloria",1,,1,0,6,,0,Municipio Metro,1,8,10,
1814,24/02/2025,24/02/2025,24/02/2025,Intervención social RELAS,23,4,20,15,5,10,3.0,4,"Navajas Linares, Ascensión",1,,19,0,13,,1,Municipio Metro,0,6,3,
1815,26/09/2024,26/09/2024,26/09/2024,Taller incontinencia urinaria,8,25,2,15,4,11,0.8,4,"Iglesias Delgado, Gemma",0,0,,1,2,,2,Granada,0,6,7,
1816,23/05/2025,23/05/2025,23/05/2025,Taller movilidad articular,23,1,5,11,3,8,3.3,1,"Pérez Salinas, Isabel",1,,11,1,5,,1,Municipio Metro,0,8,4,
1817,25/10/2024,25/10/2024,25/10/2024,Ponencia salud mental,3,30,6,12,5,7,3.6,1,"Duarte Infante, Macarena",0,4,,1,6,,1,Granada,1,3,8,
1818,19/10/2025,19/10/2025,19/10/2025,Sesión GRAFA,5,1,16,14,4,10,2.5,2,"Méndez Navajas, Héctor",0,3,,1,2,5,0,Granada,0,2,0,
1819,23/10/2024,23/10/2024,23/10/2024,Educación maternal,6,12,5,9,3,6,3.3,1,"Montoya Roldán, Esperanza",0,12,,1,2,6,1,Granada,0,4,10,
1820,18/02/2025,18/02/2025,18/02/2025,Charla prevención cardiovascular,22,10,22,17,6,11,1.6,4,"Ramos Juárez, Ramón",1,,3,1,6,,1,Municipio Metro,0,7,13,
1821,13/01/2025,13/01/2025,13/01/2025,Taller habilidades parentales,23,20,24,10,4,6,2.3,3,"Olmedo Medina, Marta",1,,1,1,13,,0,Municipio Metro,1,5,1,
1822,19/10/2024,19/10/2024,19/10/2024,Sesión Forma Joven - sexualidad,17,30,17,21,9,12,4.0,4,"Blanco Jurado, Raquel",1,,4,0,6,,0,Municipio Metro,0,8,11,
1823,02/11/2025,02/11/2025,02/11/2025,Educación maternal,5,8,5,12,3,9,1.3,4,"Quintero Suárez, Nerea",0,13,,1,2,,0,Granada,0,6,6,
1824,03/06/2024,03/06/2024,03/06/2024,Escuela Pacientes - diabetes,6,10,17,14,2,12,3.4,2,"Osuna Peña, Araceli",0,8,,1,2,1,1,Granada,0,6,11,
1825,17/09/2024,17/09/2024,17/09/2024,Charla actividad física y salud,19,3,17,16,6,10,1.7,4,"Pascual Montoya, Ascensión",1,,10,0,6,,2,Municipio Metro,0,4,11,
1826,23/03/2025,23/03/2025,23/03/2025,Detección violencia de género,17,20,24,9,3,6,2.4,4,"Luque Parra, Gloria",0,14,,1,13,,1,Granada,0,6,7,
1827,07/10/2025,07/10/2025,07/10/2025,Jornada participación ciudadana,22,1,18,17,3,14,2.4,3,"Marín Cortés, Sandra",1,,18,1,9,,2,Municipio Metro,0,0,3,
1828,19/08/2025,19/08/2025,19/08/2025,Taller Forma Joven,1,24,25,10,3,7,2.7,4,"Quintero Martínez, Lourdes",0,13,,1,15,,2,Granada,0,4,4,
1829,17/02/2025,17/02/2025,17/02/2025,Detección violencia de género,3,28,20,9,3,6,2.5,1,"Molina Castillo, Laura",0,9,,1,13,,2,Granada,0,9,10,
1830,24/12/2025,24/12/2025,24/12/2025,Charla actividad física y salud,19,27,8,20,8,12,1.1,2,"Flores Juárez, Amelia",1,,6,1,6,,2,Municipio Metro,0,5,12,
1831,27/06/2024,27/06/2024,27/06/2024,Taller primeros auxilios,23,6,25,7,3,4,1.7,4,"Carrillo Tejada, Dolores",1,,5,1,15,,1,Municipio Metro,1,2,9,
1832,13/07/2024,13/07/2024,13/07/2024,Ed. grupal rehab. respiratoria,9,10,16,17,8,9,0.7,4,"Torres Suárez, Nerea",1,,2,1,2,5,0,Municipio Metro,1,4,9,
1833,12/07/2024,12/07/2024,12/07/2024,Ed. grupal rehab. respiratoria,5,7,16,17,5,12,3.1,2,"Baena Cabello, Lucía",0,12,,1,2,,2,Granada,0,7,0,
1834,09/05/2024,09/05/2024,09/05/2024,Ed. grupal EPOC/asma,8,3,3,6,1,5,0.5,4,"Jiménez Jurado, Beatriz",1,,6,1,2,5,0,Municipio Metro,0,2,15,
1835,21/04/2025,21/04/2025,21/04/2025,Sesión Forma Joven - sexualidad,22,5,19,14,7,7,2.0,4,"Bravo Urbano, Gracia",1,,10,0,6,,2,Municipio Metro,0,4,14,
1836,06/04/2024,06/04/2024,06/04/2024,Intervención familias vulnerables,22,28,20,14,6,8,1.3,2,"Espinosa Navarrete, Laura",1,,10,1,13,,0,Municipio Metro,0,5,1,
1837,04/09/2025,04/09/2025,04/09/2025,Sesión IG EPOC,23,3,3,13,4,9,2.0,4,"Cruz León, Amparo",1,,7,1,2,,1,Municipio Metro,0,7,6,
1838,27/07/2024,27/07/2024,27/07/2024,Mesa de salud escolar,22,7,6,27,14,13,3.7,1,"Gómez Marín, Pablo",1,,19,0,6,,2,Municipio Metro,0,5,14,
1839,03/10/2025,03/10/2025,03/10/2025,Intervención social RELAS,23,20,18,12,4,8,2.9,2,"Carrillo Flores, Irene",0,12,,0,13,,0,Granada,0,4,6,
1840,09/01/2025,09/01/2025,09/01/2025,Intervención familias vulnerables,3,20,14,6,3,3,3.2,4,"Guerrero Quevedo, Claudia",0,4,,0,13,,2,Granada,1,0,14,
1841,05/09/2025,05/09/2025,05/09/2025,Sesión menopausia,13,10,9,8,3,5,2.3,4,"Iglesias Delgado, Gemma",1,,16,1,2,,0,Municipio Metro,0,5,6,
1842,01/02/2024,01/02/2024,01/02/2024,Taller alimentación saludable adultos,13,17,3,8,1,7,1.7,4,"Jurado Redondo, Dolores",1,,13,1,2,,2,Municipio Metro,0,7,5,
1843,15/06/2025,15/06/2025,15/06/2025,Charla prevención cardiovascular,19,27,21,17,9,8,1.1,3,"Fuentes Navarro, Sandra",0,12,,1,6,,2,Granada,0,1,10,
1844,24/10/2024,24/10/2024,24/10/2024,Ed. grupal rehab. respiratoria,10,10,17,9,4,5,3.9,1,"Gallego Ruiz, Natalia",0,7,,1,2,,1,Granada,0,6,11,
1845,27/11/2025,27/11/2025,27/11/2025,Mapeo de activos comunitarios,22,30,19,8,3,5,2.7,2,"Molina Peña, Nuria",1,,13,0,6,,2,Municipio Metro,0,4,8,
1846,05/09/2025,05/09/2025,05/09/2025,Taller cuidadoras personas dependientes,8,1,16,6,3,3,1.4,3,"Mora Montero, Irene",0,14,,0,2,5,1,Granada,0,0,8,
1847,10/03/2024,10/03/2024,10/03/2024,Taller cesación tabáquica,7,7,2,7,2,5,0.7,1,"Rubio Sánchez, Leire",0,0,,0,2,4,0,Granada,0,3,11,
1848,25/09/2025,25/09/2025,25/09/2025,Taller cesación tabáquica,22,16,9,7,2,5,0.6,3,"Ramos Cantero, Lourdes",0,2,,1,2,,1,Granada,0,9,10,
1849,18/07/2024,18/07/2024,18/07/2024,Taller higiene postural,23,12,5,10,3,7,2.9,1,"Zamora Juárez, María",1,,9,1,5,,1,Municipio Metro,0,6,9,
1850,18/11/2025,18/11/2025,18/11/2025,Taller cuidadoras personas dependientes,5,4,3,13,5,8,1.9,2,"Mateo Baena, Lucía",1,,18,1,2,,0,Municipio Metro,0,6,5,
1851,05/07/2025,05/07/2025,05/07/2025,Taller hipertensión,22,12,2,14,6,8,1.4,3,"Cruz Bravo, Consuelo",0,7,,1,2,,1,Granada,0,4,14,
1852,22/10/2025,22/10/2025,22/10/2025,Taller lactancia materna,11,10,2,18,6,12,0.9,3,"Trujillo Espejo, María",0,14,,0,2,3,1,Granada,0,6,5,
1853,27/05/2025,27/05/2025,27/05/2025,Sesión PSIA médico,17,1,16,29,12,17,1.1,3,"Chacón Navajas, Alejandro",1,,15,1,6,,2,Municipio Metro,0,9,11,
1854,17/03/2024,17/03/2024,17/03/2024,Taller manejo situaciones crisis,17,28,1,13,5,8,1.5,1,"Ortega Pedrosa, Claudia",1,,13,1,13,,2,Municipio Metro,1,6,6,
1855,16/09/2024,16/09/2024,16/09/2024,Rehabilitación cardiaca grupal,23,4,17,16,3,13,2.2,4,"Bravo Gutiérrez, Noelia",1,,20,0,2,,2,Municipio Metro,0,2,0,
1856,13/03/2024,13/03/2024,13/03/2024,Escuela Pacientes - diabetes,8,15,17,5,1,4,1.3,1,"Juárez Núñez, Fernando",1,,5,1,2,2,2,Municipio Metro,0,3,2,
1857,25/10/2024,25/10/2024,25/10/2024,Escuela Pacientes - EPOC,7,7,3,11,5,6,0.9,4,"Giménez Urbano, Sonia",0,2,,1,2,1,0,Granada,1,7,15,
1858,11/09/2025,11/09/2025,11/09/2025,Taller dolor crónico,10,15,17,5,2,3,0.9,1,"Rubio Espejo, Esther",1,,0,1,2,,1,Municipio Metro,0,8,7,
1859,07/09/2024,07/09/2024,07/09/2024,Taller manejo ansiedad,23,4,20,4,1,3,1.6,4,"Díaz Molina, Nuria",1,,15,1,8,,2,Municipio Metro,1,8,14,
1860,05/01/2024,05/01/2024,05/01/2024,Sesión rehabilitación pulmonar,3,12,5,11,5,6,2.7,1,"Castillo Navajas, Gracia",1,,1,1,5,,2,Municipio Metro,0,2,6,
1861,22/10/2025,22/10/2025,22/10/2025,Taller cuidadoras personas dependientes,7,12,5,7,2,5,2.4,2,"Gallego Vega, Isabel",1,,6,1,2,,1,Municipio Metro,1,0,5,
1862,08/03/2024,08/03/2024,08/03/2024,Taller alimentación saludable adultos,5,10,16,14,6,8,3.8,2,"Fernández Ramos, Marcos",1,,11,1,2,4,1,Municipio Metro,0,1,3,
1863,15/02/2025,15/02/2025,15/02/2025,Sesión coordinación PSIA,22,21,18,32,15,17,1.6,3,"Marín Cortés, Sandra",1,,4,1,9,,0,Municipio Metro,0,2,5,
1864,20/02/2024,20/02/2024,20/02/2024,Sesión Forma Joven - sexualidad,14,3,6,13,4,9,1.5,1,"Navarro Mora, José",1,,10,1,6,,0,Municipio Metro,1,5,0,
1865,11/03/2025,11/03/2025,11/03/2025,Foro salud barrio,18,4,25,17,5,12,1.9,4,"Infante Marín, Noelia",1,,16,1,9,,1,Municipio Metro,0,7,1,
1866,01/12/2025,01/12/2025,01/12/2025,Charla vacunas adultos,23,5,19,18,9,9,1.5,1,"Cantero Blanco, Marcos",1,,20,0,6,,0,Municipio Metro,1,2,14,
1867,08/08/2025,08/08/2025,08/08/2025,Taller habilidades parentales,3,20,1,4,1,3,2.4,2,"Quevedo Arias, Mónica",1,,18,0,13,,0,Municipio Metro,1,3,8,
1868,14/01/2024,14/01/2024,14/01/2024,Taller habilidades parentales,22,4,20,5,1,4,0.6,1,"Fernández Osuna, Emilio",1,,0,1,13,,0,Municipio Metro,0,4,15,
1869,24/03/2024,24/03/2024,24/03/2024,Sesión IG EPOC,11,15,16,12,2,10,3.5,4,"Blanco Montero, Amelia",1,,8,1,2,,0,Municipio Metro,0,4,1,
1870,24/03/2025,24/03/2025,24/03/2025,Mesa salud mental comunitaria,0,3,8,20,11,9,1.4,1,"Blanco Rueda, Luis",0,4,,1,6,,1,Granada,0,5,13,
1871,26/04/2025,26/04/2025,26/04/2025,Taller parentalidad positiva,0,1,8,17,7,10,1.4,4,"Ortega Pedrosa, Alejandro",1,,2,1,7,,0,Municipio Metro,0,4,10,
1872,16/03/2024,16/03/2024,16/03/2024,Charla recursos sociales y salud,22,28,24,5,2,3,1.2,1,"Escribano Roldán, Esperanza",1,,1,1,13,,0,Municipio Metro,0,2,10,
1873,02/07/2024,02/07/2024,02/07/2024,Mapeo de activos comunitarios,19,30,25,23,10,13,2.3,4,"Laguna Ramos, Ángel",1,,20,1,6,,1,Municipio Metro,0,9,6,
1874,11/07/2024,11/07/2024,11/07/2024,Sesión Forma Joven pediatría,11,27,21,11,3,8,2.6,4,"Núñez Gutiérrez, Paloma",0,14,,1,7,,1,Granada,0,4,4,
1875,15/10/2025,15/10/2025,15/10/2025,Sesión IG EPOC,22,25,16,15,3,12,1.7,2,"Peña Moya, Mónica",0,11,,1,2,,0,Granada,0,2,15,
1876,28/08/2024,28/08/2024,28/08/2024,Escuela Pacientes - EPOC,9,12,10,7,2,5,1.9,2,"Bravo Zamora, Amparo",1,,20,0,2,1,1,Municipio Metro,0,4,10,
1877,14/06/2024,14/06/2024,14/06/2024,Educación maternal,9,17,3,12,5,7,1.3,3,"Gómez Cortés, Victoria",1,,16,1,2,3,0,Municipio Metro,0,4,6,
1878,28/09/2024,28/09/2024,28/09/2024,Sesión menopausia,13,3,3,11,4,7,2.5,3,"Moreno Redondo, Sofía",0,1,,0,2,,0,Granada,0,8,9,
1879,25/06/2024,25/06/2024,25/06/2024,Taller lactancia materna,7,16,16,6,2,4,0.9,4,"Aguilar Vera, Dolores",1,,11,1,2,4,0,Municipio Metro,0,8,14,
1880,07/12/2025,07/12/2025,07/12/2025,Taller GRUSE,13,17,17,12,4,8,3.2,1,"Osuna Martínez, Sergio",1,,19,0,2,1,1,Municipio Metro,0,1,7,
1881,16/09/2024,16/09/2024,16/09/2024,Charla recursos sociales y salud,22,28,1,5,1,4,3.3,2,"Toboso Linares, Josefa",1,,7,0,13,,2,Municipio Metro,1,4,12,
1882,08/10/2024,08/10/2024,08/10/2024,Charla prevención accidentes infancia,23,15,22,23,10,13,3.1,1,"Carrillo Heredia, Sofía",1,,12,1,7,,2,Municipio Metro,0,1,0,
1883,26/01/2025,26/01/2025,26/01/2025,Detección violencia de género,23,14,1,14,4,10,3.6,2,"León González, Inés",1,,14,1,13,,0,Municipio Metro,0,4,14,
1884,12/03/2024,12/03/2024,12/03/2024,Sesión IAHS,0,1,17,15,8,7,4.0,1,"Gallego Crespo, Víctor",0,2,,1,6,,0,Granada,0,7,5,
1885,20/06/2025,20/06/2025,20/06/2025,Charla alcohol,17,30,6,11,3,8,0.7,4,"Méndez León, Gregorio",1,,20,1,6,,0,Municipio Metro,0,7,12,
1886,20/01/2025,20/01/2025,20/01/2025,Charla alcohol,17,3,17,19,10,9,0.6,1,"Ramos Lozano, Adrián",1,,14,1,6,,0,Municipio Metro,0,0,15,
1887,06/08/2024,06/08/2024,06/08/2024,Taller lactancia materna,9,1,3,14,5,9,1.8,3,"Rueda Medina, Lucía",1,,2,1,2,,2,Municipio Metro,0,7,5,
1888,11/11/2024,11/11/2024,11/11/2024,Sesión IAHS,0,21,17,22,7,15,1.2,4,"Molina Toboso, Josefa",1,,19,1,6,,0,Municipio Metro,1,9,6,
1889,18/10/2025,18/10/2025,18/10/2025,Taller cesación tabáquica,22,17,17,12,2,10,1.7,4,"Blanco Álvarez, Cristina",1,,7,1,2,,1,Municipio Metro,0,6,13,
